TestName,StartTime,TimeStamp,ActionDesc,ActionDuration,
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:39,007 Set field 'Target Unit' to value 'Piece',188,Client
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:39,008 Set field 'Y Axis' to value 'Percent',313,Client
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:39,009 Apply changes,1859,PriceExplorer
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:39,010 Select graph type 'Scatter',2047,PriceExplorer
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:39,011 Filter by time,2891,PriceExplorer
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:40,012 Clear filters,906,PriceExplorer
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:40,013 Logout ,1547,Login
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:40,001 Open login page,2109,Other
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:40,002 Login as 'regadminNL2',1656,Login
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:40,003 Navigate in main menu to 'Track and Analyze',7219,FolderNavigation
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:40,004 Navigate in folders to 'Price Explorer',3297,FolderNavigation
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:41,005 Set field 'Target Unit' to value 'Package',266,Client
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:41,006 Apply changes,1922,PriceExplorer
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:41,007 Set field 'Target Unit' to value 'Piece',141,Client
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:41,008 Set field 'Y Axis' to value 'Percent',172,Client
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:41,009 Apply changes,1484,PriceExplorer
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:41,010 Select graph type 'Scatter',2516,PriceExplorer
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:41,011 Filter by time,3219,PriceExplorer
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:42,012 Clear filters,1266,PriceExplorer
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:42,013 Logout ,1500,Login
A - Price Explorer,12/15/2010 17:42,12/15/2010 17:42,001 Open login page,188,Other
A - Price Explorer,12/15/2010 17:42,12/15/2010 17:42,002 Login as 'regadminNL2',1688,Login
A - Price Explorer,12/15/2010 17:42,12/15/2010 17:42,003 Navigate in main menu to 'Track and Analyze',7672,FolderNavigation
A - Price Explorer,12/15/2010 17:42,12/15/2010 17:42,004 Navigate in folders to 'Price Explorer',4656,FolderNavigation
A - Price Explorer,12/15/2010 17:42,12/15/2010 17:43,005 Set field 'Target Unit' to value 'Package',1922,Client
A - Price Explorer,12/15/2010 17:42,12/15/2010 17:43,006 Apply changes,1578,PriceExplorer
A - Price Explorer,12/15/2010 17:42,12/15/2010 17:43,007 Set field 'Target Unit' to value 'Piece',266,Client
A - Price Explorer,12/15/2010 17:42,12/15/2010 17:43,008 Set field 'Y Axis' to value 'Percent',188,Client
A - Price Explorer,12/15/2010 17:42,12/15/2010 17:43,009 Apply changes,1625,PriceExplorer
A - Price Explorer,12/15/2010 17:42,12/15/2010 17:43,010 Select graph type 'Scatter',2250,PriceExplorer
A - Price Explorer,12/15/2010 17:42,12/15/2010 17:43,011 Filter by time,5281,PriceExplorer
